Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
BadAss 3530-890 ,5.00,890.00,10.00,5.00,18.50,15282.00,57.19,1058.10,340.23,3.63,32.36,0.34,1.15
Cobra C-3520/12  Twin,5.00,820.00,9.00,6.00,18.50,12725.00,51.12,945.80,761.26,3.49,32.32,0.37,1.32
Cobra C-4120/12  Twin,3.00,850.00,12.00,10.00,11.10,7633.00,96.84,1074.80,669.89,4.00,32.32,0.37,1.48
BadAss 3530-650Kv  Twin,6.00,570.00,11.00,7.00,22.20,10912.00,69.08,1533.60,469.48,5.74,32.32,0.37,1.53
BadAss 3530-650Kv  Twin,6.00,570.00,11.00,7.00,22.20,10908.00,72.22,1603.20,449.10,6.26,32.32,0.39,1.53
Tempest 2826-1140Kv  Twin,5.00,1140.00,7.00,4.00,18.50,19079.00,60.16,1113.00,646.90,3.30,32.32,0.30,1.22
Tempest 4120-600Kv  Twin,4.00,600.00,13.00,10.00,14.80,7630.00,109.66,1622.80,443.68,4.92,32.32,0.30,1.45
BadAss 3530-650Kv ,6.00,570.00,11.00,7.00,22.20,10908.00,36.11,801.60,449.10,3.13,32.32,0.39,1.15
Cobra C-4120/14  Twin,4.00,710.00,11.00,8.50,14.80,8964.00,72.00,1065.60,675.68,4.16,32.27,0.39,1.48
BadAss 2826-690  Twin,4.00,690.00,14.00,10.00,14.80,7626.00,101.32,1499.40,480.19,5.98,32.27,0.40,1.25
Tempest 3515-950Kv  Twin,4.00,950.00,10.00,7.00,14.80,10891.00,95.38,1411.60,510.06,5.14,32.27,0.36,1.23
BadAss 2820-910Kv ,6.00,910.00,10.00,5.00,22.20,15243.00,59.13,1312.70,274.24,3.33,32.27,0.25,0.98
BadAss 4520-660Kv ,6.00,660.00,12.00,6.00,22.20,12714.00,72.53,1610.30,223.56,5.34,32.27,0.33,1.23
Tempest 4130-400Kv ,6.00,400.00,15.00,10.00,22.20,7629.00,58.64,1301.70,276.56,4.41,32.27,0.34,1.21
Cobra C-4120/16  Twin,4.00,610.00,12.00,10.00,14.80,7615.00,67.92,1005.20,716.28,3.97,32.23,0.40,1.47
Cobra C-4130/12  Twin,6.00,540.00,13.00,8.00,22.20,9518.00,109.98,2441.60,294.89,9.60,32.23,0.39,1.69
BadAss 2814-1120  Twin,3.00,1120.00,11.00,8.00,11.10,9520.00,88.80,985.80,730.37,4.02,32.23,0.41,1.13
BadAss 3515-710  Twin,4.00,710.00,14.00,10.00,14.80,7617.00,107.14,1585.60,454.09,6.09,32.23,0.38,1.26
Cobra C-4130/12 ,6.00,540.00,13.00,8.00,22.20,9518.00,54.99,1220.80,294.89,4.80,32.23,0.39,1.23
BadAss 2826-1360 ,4.00,1360.00,9.00,4.50,14.80,16912.00,68.95,1020.40,352.80,3.11,32.23,0.30,1.02
BadAss 3515-710 ,4.00,710.00,14.00,10.00,14.80,7617.00,53.57,792.80,454.09,3.04,32.23,0.38,1.02
BadAss 4520-830Kv ,4.00,830.00,11.00,7.00,14.80,10883.00,55.66,823.80,437.00,3.12,32.23,0.38,1.23
Cobra C-2820/8  Twin,4.00,1450.00,7.00,4.00,14.80,18999.00,70.60,1044.80,689.13,3.21,32.18,0.31,1.17
BadAss 2820-1350  Twin,3.00,1350.00,10.00,6.00,11.10,12665.00,92.74,1029.40,699.44,4.08,32.18,0.40,1.19
BadAss 2826-690  Twin,6.00,690.00,10.00,5.80,22.20,13100.00,68.92,1530.00,470.59,5.60,32.18,0.37,1.25
BadAss 3520-790  Twin,5.00,790.00,10.00,6.00,18.50,12672.00,81.48,1507.60,477.58,4.80,32.18,0.32,1.34
BadAss 3530-700  Twin,4.00,700.00,11.00,8.00,14.80,9510.00,75.54,1118.20,643.89,4.22,32.18,0.38,1.53
Tempest 4120-600Kv ,5.00,600.00,13.00,8.00,18.50,9499.00,61.98,1146.60,313.97,3.83,32.18,0.33,1.11
Cobra C-2826/8  Twin,3.00,1130.00,11.00,8.50,11.10,8929.00,103.24,1146.00,628.27,4.03,32.14,0.35,1.23
Cobra C-2826/8  Twin,4.00,1130.00,10.00,6.00,14.80,12646.00,100.28,1484.00,485.18,5.03,32.14,0.34,1.23
Cobra C-3520/10  Twin,4.00,980.00,10.00,7.00,14.80,10842.00,91.20,1349.60,533.49,5.12,32.14,0.38,1.31
Cobra C-3520/18  Twin,6.00,550.00,11.00,8.00,22.20,9497.00,53.02,1177.20,611.62,4.35,32.14,0.37,1.32
Cobra C-3525/14  Twin,6.00,560.00,12.00,8.00,22.20,9488.00,75.90,1685.20,427.25,5.35,32.14,0.32,1.40
Cobra C-4120/18  Twin,6.00,540.00,13.00,8.00,22.20,9486.00,106.16,2357.00,305.47,7.83,32.14,0.33,1.47
BadAss 2820-780  Twin,5.00,780.00,9.00,6.00,18.50,12660.00,50.02,925.20,778.21,3.45,32.14,0.37,1.19
Tempest 3515-950Kv  Twin,6.00,950.00,7.00,4.00,22.20,18989.00,47.10,1045.80,688.47,3.14,32.14,0.30,1.23
Tempest 3520-550Kv  Twin,5.00,550.00,14.00,10.00,18.50,7594.00,84.36,1560.60,461.36,6.19,32.14,0.40,1.30
Tempest 4130-310Kv  Twin,6.00,310.00,14.00,12.00,22.20,6331.00,57.20,1270.00,566.93,4.21,32.14,0.33,1.64
Cobra C-4120/18 ,6.00,540.00,13.00,8.00,22.20,9486.00,53.08,1178.50,305.47,3.92,32.14,0.33,1.12
Tempest 3520-550Kv ,5.00,550.00,14.00,10.00,18.50,7594.00,42.18,780.30,461.36,3.10,32.14,0.40,1.03
Cobra C-3520/14  Twin,5.00,700.00,9.00,7.00,18.50,10836.00,46.22,855.20,841.91,3.72,32.09,0.43,1.32
Cobra C-3520/18  Twin,6.00,550.00,11.00,8.00,22.20,9473.00,55.18,1225.00,587.76,5.19,32.09,0.42,1.32
Cobra C-4120/20  Twin,6.00,480.00,11.00,8.50,22.20,8914.00,48.02,1066.00,675.42,4.12,32.09,0.39,1.47
BadAss 2820-910Kv  Twin,4.00,910.00,10.00,7.00,14.80,10825.00,74.18,1097.80,655.86,4.00,32.09,0.36,1.19
Tempest 3515-950Kv  Twin,6.00,950.00,9.00,4.50,22.20,16846.00,99.58,2210.80,325.67,6.22,32.09,0.28,1.23
BadAss 3515-940 ,4.00,940.00,11.00,7.00,14.80,10825.00,59.88,886.20,406.23,3.20,32.09,0.36,1.02
BadAss 3520-970 ,5.00,970.00,10.00,5.00,18.50,15154.00,66.60,1232.00,292.21,3.21,32.09,0.26,1.06
BadAss 3530-700 ,6.00,700.00,12.00,6.00,22.20,12633.00,80.62,1789.80,201.14,4.99,32.09,0.28,1.16
Tempest 3515-950Kv ,6.00,950.00,9.00,4.50,22.20,16846.00,49.79,1105.40,325.67,3.11,32.09,0.28,1.00
BadAss 2826-820Kv  Twin,4.00,820.00,9.00,7.00,14.80,10817.00,57.42,849.60,847.46,3.52,32.05,0.41,1.24
BadAss 3515-1130  Twin,3.00,1130.00,9.00,7.00,11.10,10813.00,76.82,852.60,844.48,3.57,32.05,0.42,1.27
BadAss 3515-580Kv  Twin,5.00,580.00,10.00,8.00,18.50,9464.00,41.90,775.20,928.79,3.12,32.05,0.40,1.27
BadAss 3520-790  Twin,6.00,790.00,10.00,5.00,22.20,15139.00,93.70,2080.00,346.15,7.10,32.05,0.34,1.34
BadAss 3520-970  Twin,3.00,970.00,11.00,8.00,11.10,9470.00,75.30,835.80,861.45,3.78,32.05,0.45,1.34
BadAss 3520-790 ,6.00,790.00,10.00,5.00,22.20,15139.00,46.85,1040.00,346.15,3.55,32.05,0.34,1.06
BadAss 3530-890 ,5.00,890.00,10.00,5.00,18.50,15148.00,61.82,1143.60,314.80,3.21,32.05,0.28,1.15
Tempest 2826-1140Kv ,5.00,1140.00,9.00,4.50,18.50,16830.00,60.58,1120.80,321.20,3.19,32.05,0.28,1.00
Cobra C-2826/6  Twin,4.00,1470.00,7.00,4.00,14.80,18905.00,71.48,1058.00,680.53,3.21,32.01,0.30,1.23
Cobra C-3525/12  Twin,6.00,650.00,9.00,6.00,22.20,12610.00,41.06,911.40,789.99,3.42,32.01,0.38,1.40
Cobra C-4120/16  Twin,5.00,610.00,12.00,8.00,18.50,9451.00,87.40,1617.00,445.27,5.43,32.01,0.34,1.47
Cobra C-4120/22  Twin,5.00,430.00,14.00,12.00,18.50,6302.00,72.96,1349.80,533.41,4.24,32.01,0.31,1.47
BadAss 2826-690  Twin,5.00,690.00,10.00,7.00,18.50,10805.00,65.98,1220.60,589.87,5.02,32.01,0.41,1.25
Tempest 3515-1330Kv  Twin,5.00,1330.00,8.00,4.00,18.50,18896.00,101.14,1871.00,384.82,4.77,32.01,0.25,1.23
Tempest 4130-540Kv ,5.00,540.00,14.00,9.00,18.50,8396.00,74.73,1382.50,260.40,5.30,32.01,0.38,1.21
BadAss 2826-820Kv  Twin,6.00,820.00,10.00,5.00,22.20,15101.00,108.88,2417.20,297.87,6.44,31.96,0.27,1.24
BadAss 3520-970  Twin,3.00,970.00,10.00,8.00,11.10,9442.00,72.44,804.00,895.52,3.14,31.96,0.39,1.34
Tempest 4120-520Kv  Twin,5.00,520.00,11.00,8.50,18.50,8881.00,52.66,974.20,739.07,3.85,31.96,0.40,1.45
BadAss 2826-820Kv ,6.00,820.00,10.00,5.00,22.20,15101.00,54.44,1208.60,297.87,3.22,31.96,0.27,1.01
BadAss 4520-370Kv ,6.00,370.00,17.00,12.00,22.20,6295.00,60.79,1349.50,266.77,4.65,31.96,0.34,1.23
Cobra C-3525/12  Twin,4.00,650.00,12.00,10.00,14.80,7535.00,67.92,1005.20,716.28,3.80,31.92,0.38,1.40
Cobra C-4120/12  Twin,4.00,850.00,10.00,7.00,14.80,10774.00,72.78,1077.00,668.52,3.97,31.92,0.37,1.48
BadAss 2820-780  Twin,5.00,780.00,10.00,6.00,18.50,12558.00,52.74,975.60,738.01,4.02,31.92,0.41,1.19
BadAss 2826-690  Twin,4.00,690.00,14.00,10.00,14.80,7535.00,102.54,1517.60,474.43,6.32,31.92,0.42,1.25
Tempest 2826-920Kv  Twin,3.00,920.00,12.00,10.00,11.10,7543.00,103.84,1152.60,624.67,3.82,31.92,0.33,1.22
Tempest 3520-550Kv  Twin,6.00,550.00,10.00,7.00,22.20,10765.00,46.48,1032.00,697.67,3.91,31.92,0.38,1.30
BadAss 2826-690 ,4.00,690.00,14.00,10.00,14.80,7535.00,51.27,758.80,474.43,3.16,31.92,0.42,1.01
Cobra C-2820/14  Twin,5.00,840.00,9.00,6.00,18.50,12545.00,49.14,909.20,791.90,3.40,31.87,0.37,1.17
Cobra C-4120/12  Twin,4.00,850.00,10.00,7.00,14.80,10754.00,83.20,1231.40,584.70,5.07,31.87,0.41,1.48
BadAss 2814-1120  Twin,5.00,1120.00,7.00,4.00,18.50,18816.00,51.34,949.60,758.21,3.06,31.87,0.32,1.13
BadAss 2814-1300  Twin,3.00,1300.00,10.00,7.00,11.10,10759.00,105.96,1176.00,612.24,3.95,31.87,0.34,1.13
BadAss 3515-580Kv  Twin,5.00,580.00,11.00,8.00,18.50,9409.00,44.12,816.20,882.14,3.91,31.87,0.48,1.27
BadAss 3520-560  Twin,6.00,560.00,11.00,7.00,22.20,10755.00,69.44,1541.40,467.11,5.66,31.87,0.37,1.35
BadAss 3530-470  Twin,5.00,470.00,14.00,10.00,18.50,7526.00,69.32,1282.40,561.45,6.03,31.87,0.47,1.52
Tempest 4120-600Kv  Twin,6.00,600.00,10.00,6.00,22.20,12543.00,62.88,1395.80,515.83,4.61,31.87,0.33,1.45
BadAss 3530-470 ,5.00,470.00,14.00,10.00,18.50,7526.00,34.66,641.20,561.45,3.02,31.87,0.47,1.14
BadAss 4520-540Kv ,6.00,540.00,15.00,8.00,22.20,9405.00,74.88,1662.40,216.55,5.48,31.87,0.33,1.23
Tempest 4120-600Kv ,5.00,600.00,13.00,8.00,18.50,9411.00,66.74,1234.70,291.57,4.60,31.87,0.37,1.11
Cobra C-3520/10  Twin,3.00,980.00,12.00,10.00,11.10,7523.00,101.16,1122.80,641.25,3.80,31.83,0.34,1.31
BadAss 2814-1120  Twin,5.00,1120.00,7.00,4.00,18.50,18785.00,52.68,974.40,738.92,3.10,31.83,0.32,1.13
BadAss 2814-980Kv  Twin,4.00,980.00,10.00,7.00,14.80,10745.00,76.62,1133.80,635.03,3.91,31.83,0.35,1.13
BadAss 2820-1080  Twin,4.00,1080.00,10.00,5.80,14.80,12958.00,106.08,1570.00,458.60,5.56,31.83,0.35,1.19
BadAss 2820-1080  Twin,5.00,1080.00,9.00,4.50,18.50,16703.00,103.56,1916.00,375.78,5.98,31.83,0.31,1.19
BadAss 2826-820Kv  Twin,5.00,820.00,10.00,5.80,18.50,12956.00,85.18,1575.80,456.91,5.53,31.83,0.35,1.24
BadAss 3520-560  Twin,5.00,560.00,10.00,8.00,18.50,9396.00,41.76,772.60,931.92,3.07,31.83,0.40,1.35
BadAss 3530-700  Twin,4.00,700.00,11.00,8.00,14.80,9399.00,82.02,1214.00,593.08,4.91,31.83,0.40,1.53
BadAss 4520-660Kv ,6.00,660.00,12.00,6.00,22.20,12533.00,80.60,1789.20,201.21,4.76,31.83,0.27,1.24
Cobra C-3510/20  Twin,4.00,1000.00,9.00,7.00,14.80,10729.00,60.76,899.20,800.71,3.61,31.78,0.40,1.17
BadAss 2814-980Kv  Twin,6.00,980.00,7.00,4.00,22.20,18781.00,42.80,950.00,757.89,3.15,31.78,0.33,1.13
BadAss 3520-650Kv  Twin,5.00,650.00,11.00,7.00,18.50,10733.00,80.84,1495.60,481.41,5.64,31.78,0.38,1.35
Tempest 4130-460Kv  Twin,4.00,460.00,15.00,12.00,14.80,6259.00,74.22,1098.40,655.50,5.86,31.78,0.53,1.65
BadAss 3530-630Kv ,6.00,630.00,12.00,6.00,22.20,12511.00,68.56,1522.10,236.52,5.07,31.78,0.33,1.16
BadAss 4530-440Kv ,4.00,440.00,20.00,15.00,14.80,5005.00,107.37,1589.00,226.56,5.43,31.78,0.34,1.37
Cobra C-3525/14  Twin,5.00,560.00,13.00,10.00,18.50,7499.00,88.80,1642.60,438.33,4.96,31.74,0.30,1.40
BadAss 2814-1120  Twin,4.00,1120.00,10.00,6.00,14.80,12504.00,108.14,1600.40,449.89,4.89,31.74,0.31,1.13
BadAss 3515-580Kv  Twin,6.00,580.00,11.00,7.00,22.20,10704.00,67.92,1507.60,477.58,5.71,31.74,0.38,1.27
BadAss 3520-560  Twin,6.00,560.00,11.00,7.00,22.20,10704.00,69.82,1549.80,464.58,6.09,31.74,0.39,1.35
Tempest 3515-1330Kv  Twin,3.00,1330.00,10.00,7.00,11.10,10705.00,101.26,1124.00,640.57,3.89,31.74,0.35,1.23
BadAss 3520-560 ,6.00,560.00,11.00,7.00,22.20,10704.00,34.91,774.90,464.58,3.04,31.74,0.39,1.06
Cobra C-3515/14  Twin,4.00,950.00,10.00,7.00,14.80,10698.00,69.36,1026.60,701.34,4.14,31.69,0.40,1.25
Cobra C-3515/18  Twin,6.00,740.00,10.00,6.00,22.20,12483.00,60.50,1343.20,536.03,4.90,31.69,0.36,1.25
Cobra C-3520/14  Twin,5.00,700.00,12.00,8.00,18.50,9356.00,90.42,1672.80,430.42,5.22,31.69,0.31,1.32
BadAss 2814-1300  Twin,3.00,1300.00,9.00,7.00,11.10,10694.00,94.04,1043.80,689.79,3.92,31.69,0.38,1.13
BadAss 3520-650Kv  Twin,5.00,650.00,11.00,7.00,18.50,10697.00,84.16,1557.00,462.43,6.04,31.69,0.39,1.35
BadAss 3530-470  Twin,5.00,470.00,14.00,10.00,18.50,7487.00,72.14,1334.60,539.49,6.37,31.69,0.48,1.52
Tempest 2820-970Kv  Twin,4.00,970.00,10.00,7.00,14.80,10692.00,90.58,1340.40,537.15,4.88,31.69,0.36,1.16
BadAss 3520-650Kv ,5.00,650.00,11.00,7.00,18.50,10697.00,42.08,778.50,462.43,3.02,31.69,0.39,1.06
BadAss 3530-470 ,5.00,470.00,14.00,10.00,18.50,7487.00,36.07,667.30,539.49,3.19,31.69,0.48,1.14
BadAss 3530-700 ,6.00,700.00,11.00,5.50,22.20,13614.00,61.72,1370.20,262.74,4.13,31.69,0.30,1.15
Cobra C-3520/12  Twin,4.00,820.00,11.00,8.00,14.80,9346.00,75.84,1122.60,641.37,4.24,31.65,0.38,1.32
Cobra C-3520/14  Twin,6.00,700.00,10.00,6.00,22.20,12459.00,63.18,1402.40,513.41,4.77,31.65,0.34,1.32
Cobra C-4120/18  Twin,4.00,540.00,14.00,12.00,14.80,6227.00,89.76,1328.60,541.92,4.16,31.65,0.31,1.47
BadAss 2820-1080  Twin,3.00,1080.00,11.00,8.00,11.10,9348.00,105.68,1173.00,613.81,4.10,31.65,0.35,1.19
BadAss 3515-580Kv  Twin,6.00,580.00,11.00,7.00,22.20,10678.00,68.94,1530.40,470.47,6.26,31.65,0.41,1.27
BadAss 3520-790  Twin,6.00,790.00,10.00,5.00,22.20,14958.00,102.56,2276.80,316.23,6.17,31.65,0.27,1.34
Tempest 2820-1940Kv  Twin,3.00,1940.00,7.00,4.00,11.10,18680.00,88.80,985.60,730.52,3.03,31.65,0.31,1.17
BadAss 3515-580Kv ,6.00,580.00,11.00,7.00,22.20,10678.00,34.47,765.20,470.47,3.13,31.65,0.41,1.02
BadAss 3520-790 ,6.00,790.00,10.00,5.00,22.20,14958.00,51.28,1138.40,316.23,3.08,31.65,0.27,1.06
BadAss 3515-1130  Twin,4.00,1130.00,9.00,5.00,14.80,14937.00,64.34,952.20,756.14,3.57,31.60,0.38,1.27
Tempest 3515-950Kv  Twin,3.00,950.00,12.00,10.00,11.10,7466.00,109.62,1216.80,591.72,3.60,31.60,0.30,1.23
Tempest 4120-520Kv  Twin,6.00,520.00,10.00,7.00,22.20,10667.00,52.50,1165.40,617.81,4.76,31.60,0.41,1.45
BadAss 4530-730Kv ,5.00,730.00,12.00,6.00,18.50,12440.00,81.75,1512.30,238.05,5.02,31.60,0.33,1.37
Tempest 4120-830Kv ,5.00,830.00,11.00,5.50,18.50,13565.00,82.16,1520.00,236.84,4.03,31.60,0.26,1.12
Cobra C-4120/18  Twin,5.00,540.00,11.00,8.50,18.50,8768.00,52.12,964.00,746.89,3.93,31.56,0.41,1.47
BadAss 2814-1950  Twin,3.00,1950.00,7.00,4.00,11.10,18631.00,85.16,945.40,761.58,3.11,31.56,0.33,1.13
BadAss 2826-1030  Twin,3.00,1030.00,11.00,8.00,11.10,9315.00,98.82,1097.00,656.34,4.13,31.56,0.38,1.25
BadAss 3530-890  Twin,4.00,890.00,10.00,6.00,14.80,12433.00,89.76,1328.40,542.01,4.63,31.56,0.35,1.53
Tempest 2814-850Kv  Twin,4.00,850.00,9.00,7.00,14.80,10651.00,60.04,888.60,810.26,3.43,31.56,0.39,1.10
Tempest 2820-1170Kv  Twin,3.00,1170.00,9.00,7.00,11.10,10654.00,76.56,850.00,847.06,3.41,31.56,0.40,1.16
Tempest 2826-1140Kv  Twin,3.00,1140.00,9.00,7.00,11.10,10653.00,76.20,845.80,851.27,3.55,31.56,0.42,1.22
Tempest 4130-460Kv  Twin,6.00,460.00,12.00,8.00,22.20,9323.00,86.86,1928.20,373.41,7.73,31.56,0.40,1.65
Tempest 4130-690Kv  Twin,4.00,690.00,11.00,8.00,14.80,9314.00,77.60,1148.60,626.85,4.81,31.56,0.42,1.66
Tempest 4130-460Kv ,6.00,460.00,12.00,8.00,22.20,9323.00,43.43,964.10,373.41,3.87,31.56,0.40,1.21
Tempest 4130-690Kv ,4.00,690.00,14.00,9.00,14.80,8289.00,92.84,1374.00,262.01,5.18,31.56,0.38,1.22
Tempest 4130-690Kv ,6.00,690.00,11.00,5.50,22.20,13554.00,60.79,1349.60,266.75,3.91,31.56,0.29,1.21
Cobra C-4130/16  Twin,6.00,390.00,14.00,10.00,22.20,7440.00,53.66,1191.20,604.43,6.05,31.51,0.51,1.68
BadAss 2814-1120  Twin,3.00,1120.00,11.00,8.50,11.10,8757.00,108.12,1200.00,600.00,3.99,31.51,0.33,1.13
BadAss 3515-710  Twin,5.00,710.00,11.00,7.00,18.50,10639.00,79.84,1476.80,487.54,5.51,31.51,0.37,1.26
Tempest 3515-950Kv  Twin,3.00,950.00,13.00,10.00,11.10,7440.00,109.52,1215.60,592.30,4.88,31.51,0.40,1.23
Tempest 4130-460Kv  Twin,4.00,460.00,14.00,12.00,14.80,6205.00,80.64,1193.60,603.22,4.09,31.51,0.34,1.65
Cobra C-4130/16 ,6.00,390.00,14.00,10.00,22.20,7440.00,26.83,595.60,604.43,3.03,31.51,0.51,1.23
Cobra C-3515/18  Twin,5.00,740.00,10.00,7.00,18.50,10623.00,52.64,974.00,739.22,4.04,31.47,0.41,1.25
Cobra C-3525/18  Twin,6.00,430.00,14.00,10.00,22.20,7435.00,57.16,1268.80,567.47,5.94,31.47,0.47,1.40
Cobra C-4120/16  Twin,4.00,610.00,14.00,10.00,14.80,7433.00,84.66,1253.00,574.62,6.05,31.47,0.48,1.47
BadAss 3515-580Kv  Twin,6.00,580.00,11.00,7.00,22.20,10626.00,70.96,1575.40,457.03,6.18,31.47,0.39,1.27
BadAss 3515-710  Twin,4.00,710.00,12.00,8.50,14.80,8747.00,63.36,937.80,767.75,4.48,31.47,0.48,1.26
BadAss 3520-650Kv  Twin,4.00,650.00,12.00,8.50,14.80,8746.00,62.72,928.20,775.69,4.48,31.47,0.48,1.35
BadAss 3520-970  Twin,4.00,970.00,10.00,6.00,14.80,12396.00,95.02,1406.20,512.02,4.62,31.47,0.33,1.34
Tempest 2820-1940Kv  Twin,3.00,1940.00,7.00,4.00,11.10,18580.00,94.00,1043.40,690.05,3.13,31.47,0.30,1.17
Tempest 4120-700Kv  Twin,4.00,700.00,11.00,8.00,14.80,9290.00,75.08,1111.20,647.95,4.78,31.47,0.43,1.45
Cobra C-4120/16 ,4.00,610.00,14.00,10.00,14.80,7433.00,42.33,626.50,574.62,3.02,31.47,0.48,1.12
BadAss 3515-580Kv ,6.00,580.00,11.00,7.00,22.20,10626.00,35.48,787.70,457.03,3.09,31.47,0.39,1.02
Tempest 4130-400Kv ,5.00,400.00,16.00,12.00,18.50,6191.00,59.18,1094.90,328.80,3.46,31.47,0.32,1.21
Cobra C-2826-EF1  Twin,5.00,1200.00,8.00,4.00,18.50,18570.00,92.84,1717.60,419.19,4.55,31.42,0.26,1.24
Cobra C-2826-EF1-SS  Twin,5.00,1200.00,8.00,4.00,18.50,18570.00,92.84,1717.60,419.19,4.55,31.42,0.26,1.24
Cobra C-2826/10  Twin,4.00,930.00,10.00,7.00,14.80,10600.00,86.06,1273.60,565.33,5.00,31.42,0.39,1.23
Cobra C-3525/12  Twin,5.00,650.00,12.00,8.00,18.50,9273.00,83.44,1543.40,466.50,5.09,31.42,0.33,1.40
Cobra C-4120/18  Twin,6.00,540.00,10.00,7.00,22.20,10612.00,45.02,999.40,720.43,3.85,31.42,0.38,1.47
BadAss 2820-780  Twin,4.00,780.00,11.00,8.00,14.80,9274.00,74.40,1101.20,653.83,4.22,31.42,0.38,1.19
BadAss 3520-650Kv  Twin,4.00,650.00,11.00,8.50,14.80,8739.00,63.98,947.00,760.30,3.85,31.42,0.41,1.35
BadAss 3530-470  Twin,5.00,470.00,13.00,10.00,18.50,7425.00,75.38,1394.60,516.28,4.86,31.42,0.35,1.52
Tempest 2820-840Kv  Twin,4.00,840.00,11.00,8.00,14.80,9283.00,82.56,1222.00,589.20,4.24,31.42,0.35,1.16
Tempest 2826-920Kv  Twin,3.00,920.00,13.00,10.00,11.10,7426.00,106.60,1183.20,608.52,5.00,31.42,0.42,1.22
Tempest 3520-550Kv  Twin,6.00,550.00,11.00,7.00,22.20,10598.00,51.26,1138.00,632.69,5.01,31.42,0.44,1.30
Tempest 4130-460Kv  Twin,6.00,460.00,13.00,8.00,22.20,9285.00,88.66,1968.20,365.82,7.38,31.42,0.38,1.65
BadAss 3530-630Kv ,6.00,630.00,12.00,6.00,22.20,12381.00,73.87,1640.00,219.51,4.61,31.42,0.28,1.16
Tempest 4130-460Kv ,6.00,460.00,13.00,8.00,22.20,9285.00,44.33,984.10,365.82,3.69,31.42,0.38,1.21
BadAss 2820-910Kv  Twin,6.00,910.00,9.00,4.50,22.20,16463.00,86.34,1916.80,375.63,6.05,31.38,0.32,1.19
BadAss 2826-1030  Twin,4.00,1030.00,10.00,5.80,14.80,12780.00,98.68,1460.40,493.02,5.36,31.38,0.37,1.25
Tempest 2826-920Kv  Twin,4.00,920.00,11.00,7.00,14.80,10594.00,106.32,1573.40,457.61,6.06,31.38,0.39,1.22
BadAss 2820-910Kv ,6.00,910.00,9.00,4.50,22.20,16463.00,43.17,958.40,375.63,3.03,31.38,0.32,0.98
Tempest 2826-920Kv ,4.00,920.00,11.00,7.00,14.80,10594.00,53.16,786.70,457.61,3.03,31.38,0.39,1.00
Tempest 4130-540Kv ,5.00,540.00,14.00,8.50,18.50,8725.00,57.46,1063.00,338.66,4.06,31.38,0.38,1.21
Cobra C-2820/10  Twin,5.00,1170.00,7.00,4.00,18.50,18494.00,50.42,932.80,771.87,3.02,31.33,0.32,1.18
Cobra C-2826-EF1  Twin,3.00,1200.00,10.00,7.00,11.10,10579.00,92.26,1024.20,702.99,3.76,31.33,0.37,1.24
Cobra C-2826-EF1-SS  Twin,3.00,1200.00,10.00,7.00,11.10,10579.00,92.26,1024.20,702.99,3.76,31.33,0.37,1.24
Cobra C-2826/10  Twin,4.00,930.00,10.00,7.00,14.80,10579.00,66.36,982.00,733.20,4.02,31.33,0.41,1.23
BadAss 2814-870  Twin,5.00,870.00,10.00,6.00,18.50,12336.00,77.90,1441.20,499.58,4.67,31.33,0.32,1.12
BadAss 2820-780  Twin,5.00,780.00,8.00,6.00,18.50,12339.00,41.70,771.60,933.13,3.12,31.33,0.40,1.19
BadAss 2826-690  Twin,5.00,690.00,11.00,7.00,18.50,10575.00,74.82,1384.20,520.16,5.38,31.33,0.39,1.25
BadAss 3515-1130  Twin,3.00,1130.00,10.00,7.00,11.10,10570.00,88.04,977.20,736.80,3.69,31.33,0.38,1.27
BadAss 3515-940  Twin,4.00,940.00,9.00,6.00,14.80,12335.00,57.46,850.40,846.66,3.23,31.33,0.38,1.26
Tempest 2820-840Kv  Twin,5.00,840.00,10.00,6.00,18.50,12341.00,79.10,1463.20,492.07,4.70,31.33,0.32,1.16
Cobra C-3520/12  Twin,4.00,820.00,11.00,8.00,14.80,9240.00,79.28,1173.40,613.60,4.95,31.29,0.42,1.32
BadAss 2814-980Kv  Twin,6.00,980.00,9.00,4.50,22.20,16437.00,89.54,1987.60,362.25,5.89,31.29,0.30,1.13
BadAss 2820-910Kv  Twin,4.00,910.00,10.00,7.00,14.80,10563.00,82.36,1219.00,590.65,4.76,31.29,0.39,1.19
BadAss 2826-820Kv  Twin,4.00,820.00,10.00,7.00,14.80,10560.00,66.84,989.20,727.86,3.76,31.29,0.38,1.24
BadAss 3515-710  Twin,4.00,710.00,11.00,8.50,14.80,8695.00,65.22,965.20,745.96,3.79,31.29,0.39,1.26
Tempest 2820-840Kv  Twin,4.00,840.00,11.00,8.00,14.80,9245.00,85.66,1267.80,567.91,4.80,31.29,0.38,1.16
Tempest 4130-460Kv ,5.00,460.00,15.00,10.00,18.50,7395.00,60.99,1128.30,319.06,4.10,31.29,0.36,1.21
Tempest 4130-690Kv ,4.00,690.00,14.00,8.50,14.80,8694.00,71.31,1055.40,341.10,3.99,31.29,0.38,1.21
Cobra C-3520/14  Twin,5.00,700.00,10.00,7.00,18.50,10552.00,54.12,1001.00,719.28,3.83,31.25,0.38,1.32
